state_name,bad_neighbor_count,state_nn_species_count,family
Wyoming,113,68,Grass
Alabama,42,8,Bird
Arizona,35,21,Bird
Arkansas,28,10,Bird
California,1,51,Bird
Colorado,16,17,Bird
Connecticut,13,17,Bird
Delaware,10,9,Bird
District_of_Columbia,9,7,Bird
Florida,1,49,Bird
Georgia,42,9,Bird
Idaho,26,11,Bird
Illinois,4,20,Bird
Indiana,38,12,Bird
Iowa,22,8,Bird
Kansas,17,10,Bird
Kentucky,26,7,Bird
Louisiana,15,18,Bird
Maine,0,8,Bird
Maryland,12,10,Bird
Massachusetts,19,14,Bird
Michigan,0,48,Bird
Minnesota,4,17,Bird
Mississippi,17,7,Bird
Missouri,18,11,Bird
Montana,5,11,Bird
Nebraska,15,7,Bird
Nevada,35,17,Bird
New_Hampshire,11,6,Bird
New_Jersey,17,12,Bird
New_Mexico,16,21,Bird
New_York,8,26,Bird
North_Carolina,6,20,Bird
North_Dakota,13,9,Bird
Ohio,25,23,Bird
Oklahoma,25,15,Bird
Oregon,38,17,Bird
Pennsylvania,20,15,Bird
Rhode_Island,15,6,Bird
South_Carolina,17,7,Bird
South_Dakota,12,8,Bird
Tennessee,25,6,Bird
Texas,14,25,Bird
Utah,18,15,Bird
Vermont,20,10,Bird
Virginia,12,14,Bird
Washington,2,33,Bird
West_Virginia,21,7,Bird
Wisconsin,41,10,Bird
Wyoming,12,11,Bird
Alabama,139,62,Insect
Arizona,125,54,Insect
Arkansas,151,38,Insect
California,47,137,Insect
Colorado,84,68,Insect
Connecticut,113,56,Insect
Delaware,114,43,Insect
District_of_Columbia,72,31,Insect
Florida,25,149,Insect
Georgia,155,59,Insect
Idaho,108,27,Insect
Illinois,57,116,Insect
Indiana,95,68,Insect
Iowa,103,64,Insect
Kansas,78,52,Insect
Kentucky,138,41,Insect
Louisiana,104,56,Insect
Maine,32,82,Insect
Maryland,73,83,Insect
Massachusetts,47,164,Insect
Michigan,51,97,Insect
Minnesota,53,63,Insect
Mississippi,101,41,Insect
Missouri,133,50,Insect
Montana,36,50,Insect
Nebraska,110,26,Insect
Nevada,174,17,Insect
New_Hampshire,96,87,Insect
New_Jersey,85,94,Insect
New_Mexico,138,48,Insect
New_York,88,139,Insect
North_Carolina,68,79,Insect
North_Dakota,70,26,Insect
Ohio,91,76,Insect
Oklahoma,152,52,Insect
Oregon,108,84,Insect
Pennsylvania,76,119,Insect
Rhode_Island,117,54,Insect
South_Carolina,62,47,Insect
South_Dakota,80,26,Insect
Tennessee,119,65,Insect
Texas,48,122,Insect
Utah,83,43,Insect
Vermont,151,59,Insect
Virginia,77,75,Insect
Washington,14,113,Insect
West_Virginia,123,39,Insect
Wisconsin,82,91,Insect
Wyoming,95,18,Insect
